name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
ragflow,infiniflow/ragflow,https://github.com/infiniflow/ragflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,4456,2025-11-14T13:17:07Z,1989,67724,False,7234,TypeScript,93712,1.0,False,False,False,https://api.github.com/repos/infiniflow/ragflow/contributors,https://api.github.com/repos/infiniflow/ragflow/collaborators{/collaborator},100,edge ai
mediapipe,google-ai-edge/mediapipe,https://github.com/google-ai-edge/mediapipe,"Cross-platform, customizable ML solutions for live and streaming media.",5092,2025-11-14T23:46:24Z,1396,31932,False,5612,C++,605480,1.0,False,False,False,https://api.github.com/repos/google-ai-edge/mediapipe/contributors,https://api.github.com/repos/google-ai-edge/mediapipe/collaborators{/collaborator},94,edge ai
semantic-kernel,microsoft/semantic-kernel,https://github.com/microsoft/semantic-kernel,Integrate cutting-edge LLM technology quickly and easily into your apps,4819,2025-11-15T07:29:24Z,1697,26673,False,4341,C#,92052,1.0,False,False,False,https://api.github.com/repos/microsoft/semantic-kernel/contributors,https://api.github.com/repos/microsoft/semantic-kernel/collaborators{/collaborator},100,edge ai
UI-TARS-desktop,bytedance/UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,1086,2025-11-14T06:22:38Z,0,19497,False,1853,TypeScript,190579,1.0,False,False,False,https://api.github.com/repos/bytedance/UI-TARS-desktop/contributors,https://api.github.com/repos/bytedance/UI-TARS-desktop/collaborators{/collaborator},43,edge ai
ktransformers,kvcache-ai/ktransformers,https://github.com/kvcache-ai/ktransformers,A Flexible Framework for Experiencing Cutting-edge LLM Inference Optimizations,1097,2025-11-15T12:56:39Z,98,15688,False,1134,Python,37941,1.0,False,False,False,https://api.github.com/repos/kvcache-ai/ktransformers/contributors,https://api.github.com/repos/kvcache-ai/ktransformers/collaborators{/collaborator},86,edge ai
gallery,google-ai-edge/gallery,https://github.com/google-ai-edge/gallery,A gallery that showcases on-device ML/GenAI use cases and allows people to try and use models locally.,181,2025-11-14T22:43:52Z,0,14339,False,1203,Kotlin,1755,1.0,False,False,False,https://api.github.com/repos/google-ai-edge/gallery/contributors,https://api.github.com/repos/google-ai-edge/gallery/collaborators{/collaborator},7,edge ai
AI-on-the-edge-device,jomjol/AI-on-the-edge-device,https://github.com/jomjol/AI-on-the-edge-device,"Easy to use device for connecting ""old"" measuring units (water, power, gas, ...) to the digital world",2122,2025-09-07T15:47:40Z,271,7695,False,796,C++,164375,1.0,False,False,False,https://api.github.com/repos/jomjol/AI-on-the-edge-device/contributors,https://api.github.com/repos/jomjol/AI-on-the-edge-device/collaborators{/collaborator},66,edge ai
inngest,inngest/inngest,https://github.com/inngest/inngest,"The leading workflow orchestration platform.  Run stateful step functions and AI workflows on serverless, servers, or the edge.",5198,2025-11-15T01:15:12Z,1097,4155,False,194,Go,350625,1.0,False,False,False,https://api.github.com/repos/inngest/inngest/contributors,https://api.github.com/repos/inngest/inngest/collaborators{/collaborator},39,edge ai
cactus,cactus-compute/cactus,https://github.com/cactus-compute/cactus,Kernels & AI inference engine for phones,447,2025-11-15T01:56:40Z,0,3710,False,216,C++,1077490,1.0,False,False,False,https://api.github.com/repos/cactus-compute/cactus/contributors,https://api.github.com/repos/cactus-compute/cactus/collaborators{/collaborator},25,edge ai
VILA,NVlabs/VILA,https://github.com/NVlabs/VILA,"VILA is a family of state-of-the-art vision language models (VLMs) for diverse multimodal AI tasks across the edge, data center, and cloud.",126,2025-10-20T09:25:00Z,59,3655,False,305,Python,75676,1.0,False,False,False,https://api.github.com/repos/NVlabs/VILA/contributors,https://api.github.com/repos/NVlabs/VILA/collaborators{/collaborator},22,edge ai
executorch,pytorch/executorch,https://github.com/pytorch/executorch,"On-device AI across mobile, embedded and edge for PyTorch",9873,2025-11-15T12:25:27Z,3856,3511,False,722,Python,287274,1.0,False,False,False,https://api.github.com/repos/pytorch/executorch/contributors,https://api.github.com/repos/pytorch/executorch/collaborators{/collaborator},100,edge ai
runanywhere-sdks,RunanywhereAI/runanywhere-sdks,https://github.com/RunanywhereAI/runanywhere-sdks,Production ready toolkit to run AI locally,595,2025-11-08T23:16:28Z,0,3428,False,67,Kotlin,9495,1.0,False,False,False,https://api.github.com/repos/RunanywhereAI/runanywhere-sdks/contributors,https://api.github.com/repos/RunanywhereAI/runanywhere-sdks/collaborators{/collaborator},4,edge ai
chat-ollama,sugarforever/chat-ollama,https://github.com/sugarforever/chat-ollama,ChatOllama is an open-source AI chatbot that brings cutting-edge language models to your fingertips while keeping your data private and secure.,895,2025-11-06T20:21:59Z,625,3427,False,560,TypeScript,3942,1.0,True,False,False,https://api.github.com/repos/sugarforever/chat-ollama/contributors,https://api.github.com/repos/sugarforever/chat-ollama/collaborators{/collaborator},21,edge ai
